Gene_Name,T4.CM,T8.EM,Treg.naive,mDC,pDC,Mono.classical,Mono.nonclassical
TNFRSF4,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
TNFRSF14,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
TNFRSF9,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
TNFRSF8,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
TNFRSF1B,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
EPHA2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
EPHB2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
PTPRF,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
TGFBR3,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
VCAM1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
CSF1,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
CD58,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
CD2,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
CD160,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
SEMA4A,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
SLAMF6,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
SLAMF1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
CD48,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
CD244,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
F11R,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
SELP,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
SELL,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
FASLG,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
TNFSF4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
PIGR,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
CD55,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
CR2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
CD46,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
CD8A,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
SEMA4C,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ITGA4,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
CD28,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
CTLA4,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
ICOS,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
EPHA4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
PDCD1,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
CHL1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ALCAM,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
CD47,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
CD96,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
CD200,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
BTLA,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
CD200R1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
TIGIT,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
CD80,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE
CD86,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
PLXND1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
EPHB1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
TNFSF10,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
IL1RAP,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
CSF1R,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
FGFR4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
HLA-F,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
HLA-G,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
HLA-E,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
PRR3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
TNF,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
HLA-DRA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
HLA-DRB1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
HLA-DR1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
PI16,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
TNFRSF21,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
IFNGR1,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
ULBP3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NRCAM,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
PLXNA4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
EFNB1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
CD40LG,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
SLITRK4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
PLXNB3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
L1CAM,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
TNFRSF10C,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
TNFRSF10A,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FGFR1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
SDC2,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
CD274,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
CD72,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
SEMA4D,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
CD44,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
CD6,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
NCAM1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
CADM1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
MCAM,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
THY1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NECTIN1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
CRTAM,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
APLP2,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
JAM3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
VSIR,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
FAS,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
CD27,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
LAG3,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
KLRG1,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
KLRB1,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
CLEC2D,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
KLRF1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
CLEC2B,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
OLR1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
KLRK1,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
KLRC1,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
CNTN1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ITGA5,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE
PLXNC1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
SELPLG,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
FLT3,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
TNFSF11,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
TNFSF13B,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
JAG2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
SEMA7A,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
VASN,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
TNFRSF17,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ITGAL,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
ITGAM,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
ITGAX,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
ITGAD,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
CDH1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
GLG1,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
GP1BA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
TNFSF12,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
TNFSF13,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
TNFRSF13B,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ITGA2B,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ICAM2,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
PECAM1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
CDH2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DSC3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DSC2,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
DSC1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DSG1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DSG2,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
CD226,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
SIRPG,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
SIRPA,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
JAG1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
CD93,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
CD40,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
TNFSF9,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
CD70,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
TNFSF14,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
FCER2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
CD209,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ICAM1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
ICAM3,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
BST2,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
CEACAM5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
CEACAM1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
CD177,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
PVR,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
NECTIN2,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
FLT3LG,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
LILRB2,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
LILRA4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
LAIR1,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
LILRB1,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
LILRB4,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
KIR3DL1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
KIR3DL2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
TNFRSF13C,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
PLXNB2,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
APP,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE
ICOSLG,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
CD97,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE